ticket_id,text,category,priority
TKT-11078,Can you explain the charge on my latest billing statement? Thanks in advance.,Billing,Medium
TKT-10254,"Good morning, I have a question about my invoice from last month.",Billing,Medium
TKT-10124,Dark mode has a small color inconsistency on the settings page.,Technical Issue,Low
TKT-11927,I keep getting a 404 error when trying to access the reports section. This is affecting my work.,Technical Issue,Medium
TKT-10251,Urgent: How do I change my display name on my profile?,Account,Low
TKT-10585,How do I add a team member with limited permissions to my account?,Account,Medium
TKT-11568,Urgent: What integrations do you support with third-party tools? This is affecting my work.,General Query,Medium
TKT-10824,Urgent: Dark mode has a small color inconsistency on the settings page. Please help.,Technical Issue,Low
TKT-10507,"Good morning, I would like to downgrade my plan and understand the billing impact.",Billing,Medium
TKT-10889,Urgent: I have a question about my invoice from last month. Thanks in advance.,Billing,Medium
TKT-10070,I need to update my company details and billing address.,Account,Medium
TKT-11608,Your service is completely down. We cannot access the platform at all. This is affecting my work.,Technical Issue,High
TKT-11532,I would like to downgrade my plan and understand the billing impact.,Billing,Medium
TKT-10247,"Good morning, The export feature is not working correctly. Files download but are empty.",Technical Issue,Medium
TKT-11450,"Good morning, We would love a dark mode option for the web interface. Please help.",Feature Request,Medium
TKT-10212,Urgent: Do you have a public API documentation page? Thanks in advance.,General Query,Low
TKT-10909,"Hi support team, I need to update my company details and billing address. Thanks in advance.",Account,Medium
TKT-11741,"Hi support team, All admin users have been accidentally removed and we are locked out. Thanks in advance.",Account,High
TKT-11244,Urgent: My credit card was billed without authorization. This needs urgent attention. Thanks in advance.,Billing,High
TKT-11696,I need to update my billing information and payment method.,Billing,Medium
TKT-11182,"Hello, Can you add keyboard shortcuts for common actions? This is affecting my work.",Feature Request,Medium
TKT-10361,"Hello, Minor lag when switching between tabs in the dashboard.",Technical Issue,Low
TKT-11473,How do I update my notification preferences?,Account,Low
TKT-10678,Dashboard widgets are not loading properly on Chrome browser. Thanks in advance.,Technical Issue,Medium
TKT-11621,Critical bug: all our user data appears corrupted after the last update.,Technical Issue,High
TKT-11089,"Hello, Does your platform support GDPR compliance features?",General Query,Medium
TKT-11987,When does my billing cycle reset each month? This is affecting my work.,Billing,Low
TKT-11847,My account has been locked and I cannot access critical business data.,Account,High
TKT-10987,"Hello, Can you explain how your data backup and recovery process works? Thanks in advance.",General Query,Medium
TKT-11512,I have a question about my invoice from last month. This is affecting my work.,Billing,Medium
TKT-10111,The mobile app crashes whenever I try to upload an image. This is affecting my work.,Technical Issue,Medium
TKT-11487,"Hi support team, What integrations do you support with third-party tools? Thanks in advance.",General Query,Medium
TKT-11453,Is there a mobile app available for iOS and Android?,General Query,Low
TKT-10383,Urgent: Dashboard widgets are not loading properly on Chrome browser.,Technical Issue,Medium
TKT-11395,Urgent: Where can I find my account ID? Please help.,Account,Low
TKT-11054,Can you explain the charge on my latest billing statement?,Billing,Medium
TKT-10755,Does your platform support GDPR compliance features?,General Query,Medium
TKT-10324,"Good morning, Minor lag when switching between tabs in the dashboard. Please help.",Technical Issue,Low
TKT-11623,"Hi support team, Please add the ability to export reports in Excel format. Please help.",Feature Request,Medium
TKT-10787,"Hello, Dashboard widgets are not loading properly on Chrome browser.",Technical Issue,Medium
TKT-10368,"Hello, Do you offer a free trial for new users? Thanks in advance.",General Query,Low
TKT-11819,We are evaluating your platform for 500 users and need urgent response for a board decision tomorrow. Please help.,General Query,High
TKT-10069,"Good morning, I have a question about my invoice from last month. Thanks in advance.",Billing,Medium
TKT-10857,"Good morning, I need to transfer my account to a new email address. Thanks in advance.",Account,Medium
TKT-11483,I was charged twice for my subscription this month. Please refund immediately. This is affecting my work.,Billing,High
TKT-11555,We are evaluating your platform for 500 users and need urgent response for a board decision tomorrow.,General Query,High
TKT-11691,The mobile app crashes whenever I try to upload an image.,Technical Issue,Medium
TKT-11474,Urgent: I need to update my billing information and payment method.,Billing,Medium
TKT-11798,Urgent: I need to transfer my account to a new email address.,Account,Medium
TKT-10478,"Hi support team, The mobile app crashes whenever I try to upload an image.",Technical Issue,Medium
TKT-10281,Urgent: Critical bug: all our user data appears corrupted after the last update.,Technical Issue,High
TKT-11647,Urgent: We would love a dark mode option for the web interface.,Feature Request,Medium
TKT-11556,"Good morning, Legal team needs your data processing agreement urgently for contract signing. This is affecting my work.",General Query,High
TKT-11729,Login is broken for all users in our organization. Thanks in advance.,Technical Issue,High
TKT-10210,I need to update my billing information and payment method. Please help.,Billing,Medium
TKT-10297,"Hello, Minor lag when switching between tabs in the dashboard.",Technical Issue,Low
TKT-11884,The mobile app crashes whenever I try to upload an image. This is affecting my work.,Technical Issue,Medium
TKT-11833,"Hello, Login is broken for all users in our organization.",Technical Issue,High
TKT-10651,Do you offer a free trial for new users?,General Query,Low
TKT-11233,Can you explain the charge on my latest billing statement?,Billing,Medium
TKT-11502,The export feature is not working correctly. Files download but are empty. This is affecting my work.,Technical Issue,Medium
TKT-11931,Urgent: Can I add a profile picture to my account? Thanks in advance.,Account,Low
TKT-10916,"Hello, The UI looks slightly broken on Safari, minor layout issue.",Technical Issue,Low
TKT-10993,"Good morning, It would be great to have a calendar view for task management. Please help.",Feature Request,Medium
TKT-10429,Urgent: What is your uptime SLA and how do you handle planned maintenance?,General Query,Medium
TKT-11370,Urgent: We need audit logs for compliance or we cannot use your service. Please help.,Feature Request,High
TKT-10239,What integrations do you support with third-party tools?,General Query,Medium
TKT-10879,Urgent: Critical bug: all our user data appears corrupted after the last update.,Technical Issue,High
TKT-10620,Urgent: How do I add a team member with limited permissions to my account?,Account,Medium
TKT-10256,I need to update my billing information and payment method. Please help.,Billing,Medium
TKT-10611,"Hello, When does my billing cycle reset each month? Please help.",Billing,Low
TKT-10544,Can you explain the charge on my latest billing statement?,Billing,Medium
TKT-10771,Urgent: I suspect my account has been compromised with logins from unknown locations. Thanks in advance.,Account,High
TKT-11419,I keep getting a 404 error when trying to access the reports section. Please help.,Technical Issue,Medium
TKT-11041,"Hi support team, I need to update my billing information and payment method.",Billing,Medium
TKT-11789,"Good morning, I have a question about my invoice from last month.",Billing,Medium
TKT-10759,Urgent: I suspect my account has been compromised with logins from unknown locations. Please help.,Account,High
TKT-10382,Please add the ability to pin important messages. This is affecting my work.,Feature Request,Low
TKT-11103,Do you offer annual billing discounts?,Billing,Low
TKT-10973,"Hello, Can you explain the charge on my latest billing statement?",Billing,Medium
TKT-10352,"Hello, How do I add a team member with limited permissions to my account?",Account,Medium
TKT-11605,"Hi support team, Critical bug: all our user data appears corrupted after the last update. This is affecting my work.",Technical Issue,High
TKT-11825,"Good morning, Double billing occurred on my account. Need immediate resolution. Thanks in advance.",Billing,High
TKT-11036,My credit card was billed without authorization. This needs urgent attention. Please help.,Billing,High
TKT-11107,All admin users have been accidentally removed and we are locked out.,Account,High
TKT-10494,Double billing occurred on my account. Need immediate resolution.,Billing,High
TKT-10393,API returning 500 errors for all requests. Our entire workflow is blocked. This is affecting my work.,Technical Issue,High
TKT-11546,"Hi support team, My credit card was billed without authorization. This needs urgent attention.",Billing,High
TKT-10464,"Hi support team, Minor lag when switching between tabs in the dashboard.",Technical Issue,Low
TKT-10886,"Good morning, Minor lag when switching between tabs in the dashboard. This is affecting my work.",Technical Issue,Low
TKT-11193,I have a question about my invoice from last month.,Billing,Medium
TKT-10366,"Hello, I keep getting a 404 error when trying to access the reports section. Please help.",Technical Issue,Medium
TKT-11893,"Hi support team, Minor lag when switching between tabs in the dashboard.",Technical Issue,Low
TKT-11873,Urgent: Legal team needs your data processing agreement urgently for contract signing.,General Query,High
TKT-10744,"Good morning, We are evaluating your platform for 500 users and need urgent response for a board decision tomorrow.",General Query,High
TKT-10529,I keep getting a 404 error when trying to access the reports section.,Technical Issue,Medium
TKT-10802,"Hello, I suspect my account has been compromised with logins from unknown locations.",Account,High
TKT-11223,"Good morning, My credit card was billed without authorization. This needs urgent attention. Thanks in advance.",Billing,High
TKT-11978,"Hello, What payment methods do you accept?",Billing,Low
TKT-11905,"Hello, I forgot my password and the reset email is not arriving.",Account,Medium
TKT-11699,"Hello, How do I change my display name on my profile? Thanks in advance.",Account,Low
TKT-11544,"Hi support team, Your service is completely down. We cannot access the platform at all. This is affecting my work.",Technical Issue,High
TKT-11313,"Good morning, The UI looks slightly broken on Safari, minor layout issue. Thanks in advance.",Technical Issue,Low
TKT-10306,"Hi support team, Dashboard widgets are not loading properly on Chrome browser. This is affecting my work.",Technical Issue,Medium
TKT-11666,I have a question about my invoice from last month.,Billing,Medium
TKT-10862,"Hi support team, All admin users have been accidentally removed and we are locked out. This is affecting my work.",Account,High
TKT-11566,We need audit logs for compliance or we cannot use your service.,Feature Request,High
TKT-10530,"Good morning, Login is broken for all users in our organization. Please help.",Technical Issue,High
TKT-10654,What payment methods do you accept? Thanks in advance.,Billing,Low
TKT-11259,"Hi support team, Does your platform support GDPR compliance features? Please help.",General Query,Medium
TKT-10233,"Hi support team, The export feature is not working correctly. Files download but are empty.",Technical Issue,Medium
TKT-10120,When does my billing cycle reset each month? Please help.,Billing,Low
TKT-11697,The mobile app crashes whenever I try to upload an image.,Technical Issue,Medium
TKT-10949,I need to update my billing information and payment method.,Billing,Medium
TKT-10617,"Good morning, Do you offer a free trial for new users? Please help.",General Query,Low
TKT-11178,Urgent: What integrations do you support with third-party tools? Please help.,General Query,Medium
TKT-10307,Urgent: I have a question about my invoice from last month. This is affecting my work.,Billing,Medium
TKT-10135,Urgent: The export feature is not working correctly. Files download but are empty. Thanks in advance.,Technical Issue,Medium
TKT-10554,The mobile app crashes whenever I try to upload an image. Please help.,Technical Issue,Medium
TKT-11673,I need to transfer my account to a new email address.,Account,Medium
TKT-10583,Urgent: What are your customer support hours? Thanks in advance.,General Query,Low
TKT-11640,"Hello, What is your uptime SLA and how do you handle planned maintenance?",General Query,Medium
TKT-10670,Where can I find my account ID? Please help.,Account,Low
TKT-10834,I was charged twice for my subscription this month. Please refund immediately. Thanks in advance.,Billing,High
TKT-10109,"Hi support team, I have a question about my invoice from last month.",Billing,Medium
TKT-11164,"Hi support team, Can I get a receipt for my last payment?",Billing,Low
TKT-11959,Can you explain how your data backup and recovery process works? Please help.,General Query,Medium
TKT-11464,"Hi support team, Do you offer annual billing discounts?",Billing,Low
TKT-11728,"Hi support team, Dashboard widgets are not loading properly on Chrome browser. This is affecting my work.",Technical Issue,Medium
TKT-11242,"Good morning, The export feature is not working correctly. Files download but are empty.",Technical Issue,Medium
TKT-10211,The mobile app crashes whenever I try to upload an image.,Technical Issue,Medium
TKT-11767,Urgent: Can you explain how your data backup and recovery process works?,General Query,Medium
TKT-11120,"Hello, Can you explain the charge on my latest billing statement? This is affecting my work.",Billing,Medium
TKT-10679,"Good morning, I was charged twice for my subscription this month. Please refund immediately. Please help.",Billing,High
TKT-11950,"Hello, Dashboard widgets are not loading properly on Chrome browser. This is affecting my work.",Technical Issue,Medium
TKT-11838,"Hi support team, Where can I find my account ID? This is affecting my work.",Account,Low
TKT-10411,"Good morning, The mobile app crashes whenever I try to upload an image.",Technical Issue,Medium
TKT-11324,"Hi support team, API returning 500 errors for all requests. Our entire workflow is blocked. Please help.",Technical Issue,High
TKT-10782,Urgent: The export feature is not working correctly. Files download but are empty. Thanks in advance.,Technical Issue,Medium
TKT-11345,Urgent: Legal team needs your data processing agreement urgently for contract signing.,General Query,High
TKT-10874,The export feature is not working correctly. Files download but are empty. This is affecting my work.,Technical Issue,Medium
TKT-11652,"Good morning, Critical bug: all our user data appears corrupted after the last update. Please help.",Technical Issue,High
TKT-11278,"Hello, Where can I find my account ID? Please help.",Account,Low
TKT-10785,Urgent: What is your uptime SLA and how do you handle planned maintenance? This is affecting my work.,General Query,Medium
TKT-11818,Urgent: I have a question about my invoice from last month.,Billing,Medium
TKT-11198,"Hello, When does my billing cycle reset each month?",Billing,Low
TKT-10807,Urgent: Could you add drag and drop support for file attachments?,Feature Request,Low
TKT-10712,"Hello, I suspect my account has been compromised with logins from unknown locations.",Account,High
TKT-11990,"Good morning, Double billing occurred on my account. Need immediate resolution.",Billing,High
TKT-11659,Login is broken for all users in our organization. Please help.,Technical Issue,High
TKT-11190,Urgent: Our entire team is blocked without bulk export functionality. This is business critical.,Feature Request,High
TKT-11225,Do you offer annual billing discounts? Please help.,Billing,Low
TKT-10602,"Hello, How do I change my display name on my profile? Please help.",Account,Low
TKT-10270,"Hello, I was charged twice for my subscription this month. Please refund immediately.",Billing,High
TKT-11384,"Hello, I would like to downgrade my plan and understand the billing impact. Please help.",Billing,Medium
TKT-10231,I need to update my company details and billing address.,Account,Medium
TKT-10049,"Urgent: The UI looks slightly broken on Safari, minor layout issue. This is affecting my work.",Technical Issue,Low
TKT-10462,How do I add a team member with limited permissions to my account? This is affecting my work.,Account,Medium
TKT-11105,Urgent: Legal team needs your data processing agreement urgently for contract signing. Thanks in advance.,General Query,High
TKT-10855,"Hi support team, We need audit logs for compliance or we cannot use your service.",Feature Request,High
TKT-10693,The mobile app crashes whenever I try to upload an image. Please help.,Technical Issue,Medium
TKT-11551,Would be nice to have more color themes available. Please help.,Feature Request,Low
TKT-11872,Urgent: I need to update my company details and billing address. Please help.,Account,Medium
TKT-10526,"Good morning, I forgot my password and the reset email is not arriving.",Account,Medium
TKT-10173,Critical bug: all our user data appears corrupted after the last update.,Technical Issue,High
TKT-10720,"Good morning, Can you explain how your data backup and recovery process works? Please help.",General Query,Medium
TKT-10414,"Hi support team, How do I add a team member with limited permissions to my account? This is affecting my work.",Account,Medium
TKT-10237,"Hi support team, Dashboard widgets are not loading properly on Chrome browser. Please help.",Technical Issue,Medium
TKT-11472,"Good morning, API returning 500 errors for all requests. Our entire workflow is blocked. Thanks in advance.",Technical Issue,High
TKT-11335,"Good morning, I forgot my password and the reset email is not arriving. Please help.",Account,Medium
TKT-11063,Dark mode has a small color inconsistency on the settings page.,Technical Issue,Low
TKT-10023,Urgent: Would be nice to have more color themes available. Please help.,Feature Request,Low
TKT-11766,Critical bug: all our user data appears corrupted after the last update. This is affecting my work.,Technical Issue,High
TKT-10063,I need to update my billing information and payment method.,Billing,Medium
TKT-10289,Urgent: Can you explain how your data backup and recovery process works?,General Query,Medium
TKT-10188,Urgent: I need to transfer my account to a new email address. Please help.,Account,Medium
TKT-10701,"Good morning, We would love a dark mode option for the web interface. Please help.",Feature Request,Medium
TKT-11814,"Good morning, I was charged twice for my subscription this month. Please refund immediately.",Billing,High
TKT-11137,Dashboard widgets are not loading properly on Chrome browser. Please help.,Technical Issue,Medium
TKT-10354,"Good morning, Critical bug: all our user data appears corrupted after the last update.",Technical Issue,High
TKT-10416,Is there a mobile app available for iOS and Android? This is affecting my work.,General Query,Low
TKT-11245,Urgent: The export feature is not working correctly. Files download but are empty. This is affecting my work.,Technical Issue,Medium
TKT-10930,"Good morning, What languages does your platform support?",General Query,Low
TKT-10196,I need to update my company details and billing address. This is affecting my work.,Account,Medium
TKT-10579,"Hi support team, I forgot my password and the reset email is not arriving. Please help.",Account,Medium
TKT-11134,"Good morning, I need to transfer my account to a new email address. This is affecting my work.",Account,Medium
TKT-11813,"Hello, Critical bug: all our user data appears corrupted after the last update. Thanks in advance.",Technical Issue,High
TKT-11934,"Hello, Minor lag when switching between tabs in the dashboard. Please help.",Technical Issue,Low
TKT-10433,"Hi support team, What languages does your platform support? Please help.",General Query,Low
TKT-10100,Urgent: I need to transfer my account to a new email address. This is affecting my work.,Account,Medium
TKT-11654,"Hello, Could you add drag and drop support for file attachments? This is affecting my work.",Feature Request,Low
TKT-10394,How do I update my notification preferences?,Account,Low
TKT-11938,"Hello, Dashboard widgets are not loading properly on Chrome browser.",Technical Issue,Medium
TKT-10220,"Hi support team, API returning 500 errors for all requests. Our entire workflow is blocked. This is affecting my work.",Technical Issue,High
TKT-11675,"Hello, What is your uptime SLA and how do you handle planned maintenance? Thanks in advance.",General Query,Medium
TKT-11497,"Hello, We need audit logs for compliance or we cannot use your service. Please help.",Feature Request,High
TKT-11784,"Good morning, Dashboard widgets are not loading properly on Chrome browser. Thanks in advance.",Technical Issue,Medium
TKT-10344,Urgent: Please add the ability to pin important messages. This is affecting my work.,Feature Request,Low
TKT-11027,"Hello, My credit card was billed without authorization. This needs urgent attention. Thanks in advance.",Billing,High
TKT-10888,"Hello, API returning 500 errors for all requests. Our entire workflow is blocked. Thanks in advance.",Technical Issue,High
TKT-11350,Please add the ability to pin important messages.,Feature Request,Low
TKT-10552,I keep getting a 404 error when trying to access the reports section.,Technical Issue,Medium
TKT-10743,I need to update my billing information and payment method. Please help.,Billing,Medium
TKT-11541,What are your customer support hours? Thanks in advance.,General Query,Low
TKT-10538,"Good morning, Do you offer annual billing discounts? This is affecting my work.",Billing,Low
TKT-10906,"Good morning, The UI looks slightly broken on Safari, minor layout issue.",Technical Issue,Low
TKT-11394,"Hi support team, Critical bug: all our user data appears corrupted after the last update. Please help.",Technical Issue,High
TKT-10115,"Hello, What is your uptime SLA and how do you handle planned maintenance?",General Query,Medium
TKT-10829,My account has been locked and I cannot access critical business data. This is affecting my work.,Account,High
TKT-11937,The export feature is not working correctly. Files download but are empty.,Technical Issue,Medium
TKT-10808,When does my billing cycle reset each month?,Billing,Low
TKT-11310,Can you explain the charge on my latest billing statement? Thanks in advance.,Billing,Medium
TKT-11004,"Good morning, What is your uptime SLA and how do you handle planned maintenance? Please help.",General Query,Medium
TKT-10305,Do you have a public API documentation page? Please help.,General Query,Low
TKT-11100,Dark mode has a small color inconsistency on the settings page. Thanks in advance.,Technical Issue,Low
TKT-10479,"Hi support team, What is your uptime SLA and how do you handle planned maintenance? Please help.",General Query,Medium
TKT-11423,I keep getting a 404 error when trying to access the reports section.,Technical Issue,Medium
TKT-11075,"Hi support team, The mobile app crashes whenever I try to upload an image. This is affecting my work.",Technical Issue,Medium
TKT-10570,Can you explain the charge on my latest billing statement? This is affecting my work.,Billing,Medium
TKT-10618,"Good morning, My account has been locked and I cannot access critical business data.",Account,High
TKT-11897,Do you offer annual billing discounts? Please help.,Billing,Low
TKT-11265,"Good morning, All admin users have been accidentally removed and we are locked out.",Account,High
TKT-10078,"Hi support team, Does your platform support GDPR compliance features? Please help.",General Query,Medium
TKT-11911,Can I add a profile picture to my account?,Account,Low
TKT-10032,"Good morning, Can I add a profile picture to my account?",Account,Low
TKT-11537,Urgent: I forgot my password and the reset email is not arriving.,Account,Medium
TKT-11033,Urgent: What integrations do you support with third-party tools? This is affecting my work.,General Query,Medium
TKT-11562,We need audit logs for compliance or we cannot use your service. Thanks in advance.,Feature Request,High
TKT-10351,When does my billing cycle reset each month?,Billing,Low
TKT-10163,"The UI looks slightly broken on Safari, minor layout issue. Please help.",Technical Issue,Low
TKT-10203,"Good morning, How do I change my display name on my profile?",Account,Low
TKT-11053,We are evaluating your platform for 500 users and need urgent response for a board decision tomorrow.,General Query,High
TKT-11364,Urgent: Notification emails are arriving with some formatting issues. This is affecting my work.,Technical Issue,Low
TKT-11966,All admin users have been accidentally removed and we are locked out.,Account,High
TKT-10495,"Urgent: The UI looks slightly broken on Safari, minor layout issue. This is affecting my work.",Technical Issue,Low
TKT-11624,Urgent: We would love a dark mode option for the web interface.,Feature Request,Medium
TKT-11965,Critical bug: all our user data appears corrupted after the last update. Thanks in advance.,Technical Issue,High
TKT-11962,Urgent: Do you offer annual billing discounts?,Billing,Low
TKT-10610,"Hello, Your service is completely down. We cannot access the platform at all.",Technical Issue,High
TKT-10432,I need to transfer my account to a new email address. This is affecting my work.,Account,Medium
TKT-11491,"Hi support team, Do you offer annual billing discounts? This is affecting my work.",Billing,Low
TKT-10218,What integrations do you support with third-party tools?,General Query,Medium
TKT-11930,Can you explain the charge on my latest billing statement?,Billing,Medium
TKT-11465,"Hi support team, Do you offer annual billing discounts?",Billing,Low
TKT-10630,"Hello, The export feature is not working correctly. Files download but are empty. Thanks in advance.",Technical Issue,Medium
TKT-11381,Urgent: My credit card was billed without authorization. This needs urgent attention. This is affecting my work.,Billing,High
TKT-11301,Legal team needs your data processing agreement urgently for contract signing.,General Query,High
TKT-10059,API returning 500 errors for all requests. Our entire workflow is blocked.,Technical Issue,High
TKT-10298,"Hello, Can I get a receipt for my last payment? This is affecting my work.",Billing,Low
TKT-11710,Urgent: Can you explain the charge on my latest billing statement?,Billing,Medium
TKT-10073,"The UI looks slightly broken on Safari, minor layout issue. Please help.",Technical Issue,Low
TKT-10162,How do I update my notification preferences?,Account,Low
TKT-11274,"Hello, Do you offer annual billing discounts? Please help.",Billing,Low
TKT-11593,"Good morning, I have a question about my invoice from last month. This is affecting my work.",Billing,Medium
TKT-11433,"Hello, It would be great to have a calendar view for task management. Thanks in advance.",Feature Request,Medium
TKT-11612,What payment methods do you accept? Please help.,Billing,Low
TKT-10591,"Good morning, I suspect my account has been compromised with logins from unknown locations. Please help.",Account,High
TKT-10316,I have a question about my invoice from last month.,Billing,Medium
TKT-10045,"Hi support team, I have a question about my invoice from last month. Thanks in advance.",Billing,Medium
TKT-11719,"Hello, Do you offer a free trial for new users?",General Query,Low
TKT-11831,Urgent: How do I add a team member with limited permissions to my account? Thanks in advance.,Account,Medium
TKT-10427,"Hi support team, The export feature is not working correctly. Files download but are empty.",Technical Issue,Medium
TKT-10581,Urgent: Your service is completely down. We cannot access the platform at all. Please help.,Technical Issue,High
TKT-10076,"Good morning, The export feature is not working correctly. Files download but are empty. This is affecting my work.",Technical Issue,Medium
TKT-11916,"Hello, We need audit logs for compliance or we cannot use your service.",Feature Request,High
TKT-11414,Where can I find my account ID?,Account,Low
TKT-10780,"Hi support team, My account has been locked and I cannot access critical business data.",Account,High
TKT-11919,"Hello, The mobile app crashes whenever I try to upload an image. Please help.",Technical Issue,Medium
TKT-11173,"Hello, We would love a dark mode option for the web interface.",Feature Request,Medium
TKT-11319,I keep getting a 404 error when trying to access the reports section. Thanks in advance.,Technical Issue,Medium
TKT-10937,"Hello, We would love a dark mode option for the web interface.",Feature Request,Medium
TKT-10030,"Hi support team, When does my billing cycle reset each month?",Billing,Low
TKT-11091,Dark mode has a small color inconsistency on the settings page. Thanks in advance.,Technical Issue,Low
TKT-11615,What integrations do you support with third-party tools?,General Query,Medium
TKT-11229,Urgent: Can you add keyboard shortcuts for common actions? This is affecting my work.,Feature Request,Medium
TKT-10974,"Good morning, Legal team needs your data processing agreement urgently for contract signing.",General Query,High
TKT-11084,"Good morning, We are evaluating your platform for 500 users and need urgent response for a board decision tomorrow.",General Query,High
TKT-10514,Please add the ability to pin important messages. This is affecting my work.,Feature Request,Low
TKT-11550,Where can I find my account ID? Please help.,Account,Low
TKT-11567,Urgent: Could you support emoji reactions on comments? Thanks in advance.,Feature Request,Low
TKT-11810,Urgent: We are evaluating your platform for 500 users and need urgent response for a board decision tomorrow.,General Query,High
TKT-11573,"Hello, Does your platform support GDPR compliance features? This is affecting my work.",General Query,Medium
TKT-10044,"The UI looks slightly broken on Safari, minor layout issue.",Technical Issue,Low
TKT-11686,"Hi support team, I have a question about my invoice from last month. Thanks in advance.",Billing,Medium
TKT-10168,Urgent: Can you explain how your data backup and recovery process works?,General Query,Medium
TKT-10303,"Good morning, What is your uptime SLA and how do you handle planned maintenance?",General Query,Medium
TKT-10990,"Good morning, What payment methods do you accept? Thanks in advance.",Billing,Low
TKT-10555,What is your uptime SLA and how do you handle planned maintenance? Please help.,General Query,Medium
TKT-11924,"Hi support team, Can you explain the charge on my latest billing statement?",Billing,Medium
TKT-10607,"Good morning, Legal team needs your data processing agreement urgently for contract signing.",General Query,High
TKT-11618,"Hello, Our entire team is blocked without bulk export functionality. This is business critical.",Feature Request,High
TKT-10757,"Hi support team, Login is broken for all users in our organization. Thanks in advance.",Technical Issue,High
TKT-10438,Can I get a receipt for my last payment? Thanks in advance.,Billing,Low
TKT-10582,"Hello, I need to update my billing information and payment method.",Billing,Medium
TKT-11518,"Good morning, I need to update my billing information and payment method.",Billing,Medium
TKT-10527,"Good morning, I keep getting a 404 error when trying to access the reports section. Please help.",Technical Issue,Medium
TKT-10342,"Hello, Minor lag when switching between tabs in the dashboard. Please help.",Technical Issue,Low
TKT-11736,Could you support emoji reactions on comments?,Feature Request,Low
TKT-10367,"Hello, Can I get a receipt for my last payment? Thanks in advance.",Billing,Low
TKT-10185,What languages does your platform support? This is affecting my work.,General Query,Low
TKT-11116,"Good morning, All admin users have been accidentally removed and we are locked out.",Account,High
TKT-11754,Urgent: Can you explain the charge on my latest billing statement? Please help.,Billing,Medium
TKT-11425,Urgent: What is your uptime SLA and how do you handle planned maintenance?,General Query,Medium
TKT-10300,"Hello, What integrations do you support with third-party tools? Thanks in advance.",General Query,Medium
TKT-11903,Urgent: All admin users have been accidentally removed and we are locked out. This is affecting my work.,Account,High
